"","id","ave_price","price_range"
"212",1112067,73,0
"213",1112193,65,0
"214",1113272,210,0
"215",1115394,105.45390070922,189
"216",1119740,204.165266106443,276
"217",1128894,55,0
"218",1131634,218.047923322684,170
"219",1136972,85.7303370786517,40
"220",1141522,95.2403560830861,22
"221",1141888,125,0
"222",1147871,94.8865671641791,11
"223",1161210,62.2764705882353,42
"224",1166808,136.373961218837,304
"225",1167221,97.9747634069401,52
"226",1171578,99,0
"227",1173306,75,0
"228",1174776,185,0
"229",1175376,382.675595238095,1534
"230",1178106,117.935754189944,123
"231",1178162,95.0818713450292,7
"232",1178371,45,0
"233",1179399,68.5074626865672,5
"234",1183032,150,0
"235",1185034,162.754208754209,19
"236",1197857,259.46587537092,1036
"237",1200502,147.693726937269,130
"238",1203014,65,0
"239",1220971,189.195804195804,86
"240",1222327,178,0
"241",1223050,100,0
"242",1234740,398.190883190883,401
"243",1240598,119.003300330033,33
"244",1248870,210.61935483871,170
"245",1252289,101.72131147541,14
"246",1262443,39,0
"247",1264217,154.259259259259,110
"248",1275498,160,0
"249",1277618,210,0
"250",1301500,76.6,26
"251",1321422,54.9481481481481,74
"252",1327725,147.174061433447,65
"253",1329627,270.118343195266,149
"254",1332786,36.5628415300546,25
"255",1340649,114.366197183099,50
"256",1341072,403,276
"257",1342370,384.02875399361,1534
"258",1352776,65,0
"259",1365335,160,0
"260",1372816,222.789634146341,281
"261",1373520,119.418181818182,36
"262",1374434,75,0
"263",1374466,85,0
"264",1391215,50.6432748538012,5
"265",1391492,58.1446540880503,15
"266",1401625,272.016713091922,338
"267",1403408,90,0
"268",1421610,475.555555555556,280
"269",1426711,163.152249134948,64
"270",1426754,134.8,60
"271",1428355,83.2,30
"272",1436513,75,0
"273",1445064,49,0
"274",1454258,94.7944785276074,27
"275",1458081,242.60625,157
"276",1471308,73.4444444444444,30
"277",1471373,79.1638795986622,15
"278",1472481,59.5162454873646,63
"279",1472520,59.9638989169675,84
"280",1489289,177.822580645161,10
"281",1494726,76.4225352112676,5
"282",1497879,107.984126984127,8
"283",1498719,250,0
"284",1510876,59.9824561403509,5
"285",1525494,64.1086261980831,19
"286",1529321,66.81640625,18
"287",1541166,143.191235059761,16
"288",1544702,62.7657992565056,37
"289",1545185,158.234421364985,60
"290",1550047,469.789644012945,1843
"291",1551205,435,0
"292",1551467,150,0
"293",1584362,52.0581395348837,22
"294",1587540,285.285714285714,174
"295",1589392,130,0
"296",1591827,60,0
"297",1596470,458.377777777778,625
"298",1602491,72.8529411764706,10
"299",1612842,290,0
"300",1615033,141.793650793651,110
"301",1631942,122.5,10
"302",1638584,65,0
"303",1644031,112.625,11
"304",1648950,165.866666666667,38
"305",1658983,155,0
"306",1668313,57,0
"307",1692573,135,0
"308",1695275,108.730088495575,41
"309",1704090,123.875,5
"310",1717816,99,0
"311",1721016,84.1724137931034,20
"312",1724900,130.751633986928,30
"313",1731639,500,0
"314",1732804,80,0
"315",1745339,195,0
"316",1754939,173.076923076923,50
"317",1757417,66.2272727272727,4
"318",1758953,208.741830065359,75
"319",1775935,314.277777777778,100
"320",1803138,85,0
"321",1810172,67.2096774193548,1
"322",1810397,800,0
"323",1811776,265.19512195122,70
"324",1815326,99,0
"325",1819994,310,0
"326",1821633,99.5871559633027,10
"327",1827762,179.285714285714,30
"328",1839549,70.7847222222222,8
"329",1840255,358.078431372549,800
"330",1850260,65,0
"331",1861070,75,0
"332",1863443,254.067567567568,200
"333",1864705,416.951807228916,170
"334",1867754,290.216216216216,220
"335",1867881,347.315217391304,200
"336",1868124,394.180722891566,190
"337",1868513,343,80
"338",1873046,139.899350649351,30
"339",1881180,90,0
"340",1881298,90,0
"341",1884045,65,0
"342",1885386,86.0879478827362,45
"343",1885825,79.4496644295302,52
"344",1887507,102.666666666667,10
"345",1887581,333.805970149254,350
"346",1902160,70,0
"347",1912940,149.880952380952,30
"348",1929406,283.809523809524,70
"349",1936861,59.7098591549296,8
"350",1948096,385,0
"351",1949996,120,0
"352",1956275,371.695792880259,282
"353",1964878,393.391891891892,240
"354",1966195,519,130
"355",2000797,60.3951367781155,40
"356",2014651,100,0
"357",2014882,70.9417475728155,6
"358",2021274,244.886297376093,185
"359",2021483,500,0
"360",2021489,200,0
"361",2022303,252.090032154341,150
"362",2043261,137.822580645161,10
"363",2043529,200.281690140845,50
"364",2043541,209.857142857143,50
"365",2061478,110,0
"366",2077794,109.465753424658,29
"367",2114274,84.1450617283951,39
"368",2126053,175.487804878049,125
"369",2135075,195.845679012346,74
"370",2135451,110,0
"371",2167993,160.507598784195,91
"372",2174476,166.039877300613,191
"373",2174711,154.204402515723,161
"374",2183058,191.896321070234,60
"375",2183117,108.320610687023,60
"376",2186358,325.425120772947,250
"377",2187766,419.434782608696,210
"378",2189086,80.1123595505618,10
"379",2214923,514.581395348837,220
"380",2215762,185,0
"381",2216767,186.334470989761,171
"382",2219399,115,0
"383",2227959,65,0
"384",2243499,325.231884057971,250
"385",2246959,389.774647887324,240
"386",2247190,389.921985815603,240
"387",2277821,608.68023255814,570
"388",2278704,66.3002915451895,17
"389",2292495,176.018808777429,175
"390",2294730,87.1774193548387,10
"391",2295530,100.057851239669,32
"392",2301709,358.619496855346,945
"393",2326445,195,0
"394",2331886,186.6,23
"395",2360109,139.251412429379,85
"396",2365632,220,0
"397",2372987,182.868421052632,460
"398",2374089,195,0
"399",2376518,237.852564102564,10
"400",2378421,136.746575342466,25
"401",2384107,350,0
"402",2395326,179.413793103448,45
"403",2410846,145.121580547112,65
"404",2429961,162.352941176471,100
"405",2441095,198.022988505747,300
"406",2473997,84.0116279069767,43
"407",2481019,229.102893890675,170
"408",2495047,160,0
"409",2515870,99,0
"410",2526773,52,0
"411",2529318,150,0
"412",2538536,149,0
"413",2547075,153.700906344411,55
"414",2547129,196.673913043478,75
"415",2549840,430.407534246575,1093
"416",2555771,150,0
"417",2564544,174.378378378378,46
"418",2573685,270.810810810811,320
"419",2583074,40.0753012048193,5
"420",2592416,500,0
"421",2621242,110,0
"422",2633478,212,0
"423",2634361,70.3809523809524,10
"424",2634499,68.0833333333333,14
"425",2636365,108,0
"426",2649521,600,0
"427",2657905,166.555555555556,60
"428",2658094,264.31724137931,74
"429",2660908,99,0
"430",2663667,155,0
"431",2672058,90,0
"432",2682662,277.942424242424,800
"433",2683284,275.311046511628,323
"434",2694019,250,0
"435",2698996,77,30
"436",2701124,280,0
"437",2706986,137.469879518072,75
"438",2722165,337.25,51
"439",2729015,92.2164948453608,25
"440",2747654,108.432786885246,44
"441",2754149,65,0
"442",2754975,209.055118110236,100
"443",2764624,76.5653409090909,14
"444",2769450,280,0
"445",2776143,123.425,61
"446",2776391,250.345394736842,100
"447",2794782,70,0
"448",2798599,200,0
"449",2798787,75,0
"450",2811937,70,0
"451",2821921,329,0
"452",2823378,107.110778443114,25
"453",2831504,441.429850746269,134
"454",2842124,200,0
"455",2843596,85,0
"456",2846739,125.207715133531,10
"457",2848239,239.439655172414,100
"458",2848330,278.872403560831,175
"459",2848362,271.002994011976,200
"460",2848370,185,70
"461",2848393,484.542682926829,425
"462",2862120,96.0526315789474,25
"463",2871079,250,0
"464",2872717,388.391891891892,220
"465",2875267,175,0
"466",2881388,810.532110091743,805
"467",2884903,70,0
"468",2886933,258.411764705882,110
"469",2892825,412.367231638418,525
"470",2898226,150.301587301587,19
"471",2915595,299,0
"472",2916208,107.056451612903,25
"473",2930663,76.4904942965779,12
"474",2931165,57.25,12
"475",2931271,152.830357142857,83
"476",2931870,76.5505617977528,11
"477",2943804,207.477611940299,154
"478",2947662,300.318681318681,125
"479",2963419,100,0
"480",2998554,205,60
"481",3012529,75,0
"482",3021446,95.2384105960265,154
"483",3021862,90,0
"484",3050565,90,0
"485",3052935,67.2485207100592,10
"486",3057116,79.0837988826816,15
"487",3060038,80.002808988764,1
"488",3068453,113.200668896321,42
"489",3069104,230,0
"490",3075044,67.8133704735376,10
"491",3079305,156.724137931034,10
"492",3129309,164.096774193548,125
"493",3131519,74.8947368421053,10
"494",3164650,54.6305220883534,21
"495",3166256,135.052631578947,15
"496",3181719,120.660377358491,20
"497",3193484,68.2352941176471,15
"498",3198169,112.613636363636,20
"499",3229255,111.600775193798,86
"500",3236496,116.818181818182,10
"501",3250847,67.3795180722892,10
"502",3276286,187.909090909091,118
"503",3278624,418.06976744186,170
"504",3289921,170,0
"505",3294152,117.90273556231,20
"506",3294775,61.3818181818182,45
"507",3302294,223.398734177215,236
"508",3303860,68.6827195467422,13
"509",3309941,405.626506024096,170
"510",3311675,55.7360703812317,13
"511",3318814,75,0
"512",3342094,346.189189189189,145
"513",3342206,414.202702702703,150
"514",3343428,83.8,29
"515",3344322,67.8422619047619,30
"516",3344639,58.5820895522388,4
"517",3351728,819.111111111111,349
"518",3363097,397.06006006006,11
"519",3377100,256.923076923077,55
"520",3377871,121.40562248996,5
"521",3392423,114.834586466165,44
"522",3394437,300,0
"523",3410087,129.471204188482,80
"524",3412990,60,0
"525",3415033,198.665730337079,175
"526",3415245,742.647058823529,50
"527",3415434,67.5842696629213,16
"528",3419711,70,0
"529",3420221,65,0
"530",3420384,166.418338108883,5
"531",3432321,220,0
"532",3434614,125,10
"533",3519768,193.952978056426,190
"534",3520353,260.993670886076,350
"535",3528826,386.086687306502,1118
"536",3539510,422.258928571429,642
"537",3575220,45.0576923076923,5
"538",3585343,110,0
"539",3589267,414.603498542274,1100
"540",3589869,79.8817204301075,6
"541",3591359,130,0
"542",3591388,275,0
"543",3593290,325,0
"544",3601030,230.761092150171,241
"545",3601254,147.707317073171,72
"546",3601424,75,0
"547",3602379,163.012158054711,110
"548",3615760,125.182795698925,127
"549",3616081,123.440119760479,65
"550",3628320,136.956204379562,60
"551",3629014,89.558282208589,25
"552",3653207,278.942857142857,150
"553",3656168,38,0
"554",3659917,75,0
"555",3664031,335,0
"556",3668038,72,0
"557",3673104,295,0
"558",3677662,85,0
"559",3678429,88.4269662921348,30
"560",3693850,88,0
"561",3701108,90,0
"562",3703674,75,0
"563",3721095,360.623003194888,50
"564",3727560,120,0
"565",3730447,180,0
"566",3740274,228.781818181818,30
"567",3749523,488.057324840764,100
"568",3755609,77.1268436578171,8
"569",3765014,51.8526645768025,10
"570",3765289,67.2825484764543,8
"571",3783090,177.714285714286,90
"572",3788075,81,0
"573",3792147,92.1960784313726,30
"574",3820516,211.365079365079,86
"575",3839678,50,0
"576",3842286,197.062015503876,260
"577",3866526,120,0
"578",3867014,254.203647416413,63
"579",3870046,298.540145985401,125
"580",3888360,308.053797468354,567
"581",3890373,235.051660516605,276
"582",3897963,77.087786259542,11
"583",3897995,76.4837545126354,18
"584",3898015,70.5801526717557,20
"585",3901439,71.722433460076,23
"586",3903273,225,0
"587",3903324,254.067567567568,200
"588",3905508,130,0
"589",3914363,254.743243243243,200
"590",3917027,74.8888888888889,10
"591",3931204,303.744525547445,250
"592",3945704,162.641693811075,160
"593",3946215,97.39375,68
"594",3953472,148.736842105263,15
"595",3957602,79.2786885245902,40
"596",3967611,200,0
"597",3968797,85,0
"598",3969526,247.97520661157,56
"599",3974503,65,0
"600",3985462,352.044444444444,1091
"601",3987926,75.2201257861635,50
"602",3988018,81.6091954022989,30
"603",3992208,108.964664310954,41
"604",4000384,90,0
"605",4015972,60.059880239521,5
"606",4020650,140.111111111111,10
"607",4025194,87.7672955974843,35
"608",4032126,37.5944700460829,3
"609",4032756,188,0
"610",4034018,326.893992932862,790
"611",4040151,418.06976744186,170
"612",4044840,343,80
"613",4053612,403.861111111111,160
"614",4054079,95.5555555555556,2
"615",4065322,85.3030303030303,15
"616",4065578,237.16814159292,120
